video_id,title,published_at,views,likes,comments
4PPP4HcLi-E,"sorry @AlexWarren, i.. had to give them this part before it’s out on friday ♡ #Alex_ROSÉ_OnMyMind",2025-06-24T17:06:35Z,280605,44248,1746
WnljOxbuGLw,ROSÉ - Messy (From F1® The Movie) [BEHIND THE SCENES],2025-05-23T12:01:05Z,375937,54365,2585
qgSPdRrAUxU,"if it’s messy, if it’s messy, if it’s messy #F1TheAlbum #F1Movie #ROSÉ_Messy #Messy #Shorts",2025-05-15T11:51:44Z,924327,107617,3052
Oo3dR8lMiA0,MESSY OUT NOW #F1theAlbum #F1Movie #ROSÉ_Messy #Messy #Shorts,2025-05-08T18:31:57Z,1254344,114135,2559
ia2Ph61bYzc,ROSÉ - Messy (From F1® The Movie) [Official Music Video],2025-05-08T16:00:07Z,34176838,1083682,62027
LwdxT3MpoHQ,💃😗🙂‍↔️😂 #ROSÉ_drinksorcoffee,2025-05-08T01:24:53Z,1236604,114441,2782
ZkMRKyoa5n4,i present to you ✨ THE MET ✨ #ROSÉ_toxictilltheend,2025-05-07T16:12:13Z,4319076,212767,3694
QmSMJ5P49Nc,baby let’s get MET-sy #ROSÉ_Messy #F1TheAlbum #F1TheMovie,2025-05-06T21:40:41Z,1718092,145585,3711
UPM6AO_9yU4,"아파트, 아파트, uh, uh-huh, uh-huh 💓",2025-04-28T03:48:56Z,1344913,92809,2099
zFM-SIfzFZ8,🩷 it’s wa-eva it’s wa-eva 🩷 #ROSÉ_BRUNO_APT,2025-04-22T16:30:30Z,1159938,119792,4690
MNGuNVnkEXM,@coldplay‘s random game 💓🌈,2025-04-22T15:37:51Z,1340862,87874,1763
BUf8oSdSEL4,who else is a 3am girlie? #3am #rosiebyROSÉ #ROSÉ_rosie,2025-03-19T12:34:29Z,1736562,161866,5860
M6oLx9SDpWo,shhhhh.. 🤫 #drinksorcoffee #ROSÉ_rosie #rosiebyROSÉ,2025-03-12T16:32:40Z,1808544,212589,5181
qCepOLkcF_A,ROSÉ - number one girl (performance video),2025-02-13T01:00:07Z,17897212,834129,29676
PSHhJRW6r-k,number one girl ♡ 2/12 5pm PST & 8pm EST ♡ 2/13 10am KST #number_one_girl,2025-02-12T23:17:10Z,622012,75730,2039
1a00H2YNxRw,i♡28,2025-02-12T01:08:32Z,1746170,178898,9111
KXEk2Cp09n0,drink paris dance paris freak PARISSSSS,2025-01-25T12:30:58Z,2269572,264044,4565
MwkMCMl33y0,3am live out nowww #ROSÉ_rosie #rosiebyROSÉ #rosie,2025-01-23T13:31:19Z,1319263,153757,2270
zrU3vvTuhRo,ROSÉ - 3am (live performance),2025-01-23T13:01:30Z,7258903,342180,14879
pJrK8W_7N7E,thank u number ones for coming to the rosie fan experiences ♡ #rosiebyROSÉ #ROSÉ_rosie,2025-01-16T01:56:53Z,894218,112963,2193
r_LzfbpJgLc,ROSÉ - number one fan experience (BEHIND THE SCENES),2025-01-16T01:16:34Z,663243,79362,3336
HvJ7kCObb6w,behind the scenes for toxic till the end. full video on my channel!! #toxictilltheend,2024-12-19T03:33:56Z,2358759,181452,2339
gL_2T4LaoUE,ROSÉ - toxic till the end (BEHIND THE SCENES),2024-12-18T04:30:31Z,1627123,143680,5109
KjSl5mEUM1w,danced all 2024 🪩 #rosie #rosiebyROSÉ #ROSÉ_rosie #ROSÉ_danceallnight #danceallnight,2024-12-09T20:02:08Z,1365031,176933,2991
Ih7Wwf4Fvn0,apt. till the end #rosie #rosiebyROSÉ #ROSÉ_rosie,2024-12-08T20:35:56Z,11659816,666386,7537
MR8ARWG6zlo,rosie in nyc #rosie #rosiebyROSÉ #ROSÉ_rosie,2024-12-07T20:46:32Z,1238339,145179,1955
vHvOYQ0hbBA,ROSÉ - stay a little longer (official audio),2024-12-06T05:00:48Z,13503300,309985,11258
lktucPDH5IY,ROSÉ - two years (official audio),2024-12-06T05:00:38Z,7283283,198235,5168
nOo3a2tT1LQ,ROSÉ - call it the end (official audio),2024-12-06T05:00:37Z,3209892,127079,3559
h7HP9aiIFfc,ROSÉ - dance all night (official audio),2024-12-06T05:00:36Z,6048326,172984,4954
OzdJFXyO8ts,ROSÉ - 3am (official audio),2024-12-06T05:00:16Z,8390991,218578,6828
PFDO5OZO61Y,ROSÉ - drinks or coffee (official audio),2024-12-06T05:00:16Z,10151988,227466,6976
FQmgNCStzQM,ROSÉ - too bad for us (official audio),2024-12-06T05:00:15Z,6042737,176935,4886
JwKOLJl5oRM,ROSÉ - gameboy (official audio),2024-12-06T05:00:13Z,7621330,192710,5587
IKqVcaVrMGs,ROSÉ - not the same (official audio),2024-12-06T05:00:11Z,3571008,154715,4256
eA0lHNZ1KCA,ROSÉ - toxic till the end (OFFICIAL MUSIC VIDEO),2024-12-06T05:00:06Z,100381979,2431111,107524
6ARfdC_QW1Y,ROSÉ - toxic till the end OFFICIAL TRAILER,2024-12-06T00:01:05Z,1158567,154270,5279
1CXfLdvXoqg,not the same ♡ #rosie #rosiebyROSÉ #ROSÉ_rosie #rosesarerosie #notthesame,2024-12-05T16:58:37Z,1163345,166259,2018
VCYYD1M9rmk,3am ♡ #rosie #rosiebyROSÉ #ROSÉ_rosie #rosesarerosie #3am,2024-12-05T16:56:03Z,855990,157085,1696
pi9-xKVv44Q,gameboy ♡ #rosie #rosiebyROSÉ #ROSÉ_rosie #rosesarerosie #gameboy,2024-12-05T16:54:46Z,565928,109579,1484
IwOpeYbm-C0,two years ♡ #rosie #rosiebyROSÉ #ROSÉ_rosie #rosesarerosie #twoyears,2024-12-04T17:37:42Z,775914,141968,2037
ziCAb0LjKbI,one year of making rosie. ‘rosie’ is out friday 🥹 #rosie #ROSÉ_rosie #rosiebyROSÉ,2024-12-04T16:58:43Z,1939694,230608,2218
Jn8KvdWagfo,ROSÉ & Bruno Mars - APT. (live from 2024 MAMA AWARDS),2024-11-22T16:01:14Z,85714261,1318533,29442
pZ1NdE69VTs,ROSÉ - number one girl (official music video),2024-11-22T05:00:06Z,106425847,2439044,135066
W4QpPpaG2Ik,⁠@i-D 💙 #ROSÉ_BRUNO_APT,2024-11-19T23:16:30Z,2448779,223809,3878
iaW82t16dAQ,hot ones vlog 🤧 #ROSÉ_BRUNO_APT,2024-11-14T04:55:16Z,1314556,157887,2451
OinqZttGt3Q,🦍♡👸🏼 #ROSÉ_Bruno_APT,2024-11-07T00:22:54Z,18934257,630367,10150
7B5z3Cv03ZA,coming soon number ones 👀 11/1 2:11pm ET,2024-10-31T18:48:10Z,4961161,410258,5253
EfLXQJ6hon4,kissy face kissy face 😚 #ROSÉ_Bruno_APT brought to you by youtube shorts,2024-10-30T20:26:42Z,16374388,682455,7671
RYoMEZBW27k,rosie OUT DEC 6TH ♡,2024-10-27T21:04:27Z,3903950,434538,8325
DIVTJDhA7fk,apt. kids do it best ⚡️ brought to you by youtube shorts #ROSÉ_Bruno_APT,2024-10-26T00:17:41Z,11381305,643018,8514
LML815ICtRQ,turned this apt. into a clurbb 🇧🇷 thank you my number ones! brought to you by youtube shorts,2024-10-24T21:46:36Z,12165360,588839,3407
qiEHb9sSku8,APT. 많이 사랑해주세요 🫶🏼 #ROSÉ_Bruno_APT,2024-10-22T20:45:42Z,5502830,437023,5452
m7AD2GKqI10,my new track APT. with @brunomars is out now! brought to you by youtube shorts 💗 #ROSÉ_BRUNO_APT,2024-10-21T22:01:00Z,32524725,1449543,11828
zToiY455lhQ,me and @brunomars new track APT. is out now! brought to you by youtube shorts  #ROSÉ_BRUNO_APT,2024-10-21T15:06:25Z,111041159,3436749,29907
TPSVcRk6qqI,meet me at the APT! let's see how you make it your own on shorts!💗 brought to you by youtube shorts,2024-10-20T17:36:30Z,18677021,918475,10071
ZJhpyIquDWs,BRAZILL WE OUT HEREEE 🇧🇷 #ROSÉ_Bruno_APT,2024-10-19T00:10:44Z,4869643,500686,5677
UFW_gPEcymk,💗APT. OUT NOW⚡️ #ROSÉ_BRUNO_APT,2024-10-18T19:27:13Z,15589594,767732,6303
RqxXxeJQ6Bc,🖤 GAME START 🖤 #ROSÉ_Bruno_APT,2024-10-18T17:49:42Z,8293773,894919,8013
5VhmJaKV10c,excited to see what shorts ideas y’all come up with for apt.💗 brought to you by youtube shorts,2024-10-18T15:00:46Z,246277556,7227568,70629
ekr2nIex040,ROSÉ & Bruno Mars - APT. (Official Music Video),2024-10-18T04:00:07Z,1750348349,16114091,755933
tsNxRZDsPUA,💗 APT. ⚡︎ OCT 18 💗 #ROSÉ_Bruno_APT,2024-10-17T16:14:33Z,1902702,248056,2783
_BBYabHyZ_Q,hi my number ones.. ♡♡ did you see..?? vampirehollie is open for u to follow 👀,2024-09-27T00:43:14Z,2523083,241831,5332
6K_P3geJTls,Paris vlog,2023-12-01T09:00:04Z,8586959,458110,13428
prTLvVeiQSY,USA vlog,2023-11-01T09:00:38Z,1939119,184828,6385
0ZRhylpuqY0,Sydney vlog,2023-09-21T09:00:00Z,3602345,274494,10444
WfEiabOTH8Y,ROSÉ - 'Until I Found You (Stephen Sanchez)' Cover,2023-02-11T03:00:07Z,42621687,1534919,103016
QLevyjz_npY,Taking you behind the scenes of my Saint Laurent Photoshoot,2022-05-07T03:00:08Z,2720659,385091,19168
d68H7yDBwc4,Baking vlog,2022-03-07T10:00:29Z,5802200,693541,27494
oYyWoovxq-8,ROSÉ - Don't Look Back In Anger (Oasis) Live Studio Cover,2022-02-11T05:13:44Z,14529552,823911,31695
46IvBZSJKJg,ROSÉ - December (Neck Deep) Live Studio Cover,2022-02-11T03:00:03Z,4511390,505777,24627
mX8rMMS-MbI,ROSÉ - Viva La Vida (Coldplay) Live Studio Cover,2022-02-10T17:11:02Z,30956401,1545295,77428
deHE9o4L8oo,Sunset cover - Wildfire,2021-12-28T14:00:16Z,7451130,910254,39719
Swn6d0mynXY,Thank you for loving -R-,2021-05-15T15:00:19Z,6266024,923162,63289
zWOjRqaHxgU,-R- Film,2021-03-25T11:00:17Z,3277612,670881,25626
YmZEXPPDCzc,ROSÉ | Interview Film,2021-03-18T02:34:44Z,7444864,1188556,34534
